Name,HEX,RGB
White,#FFFFFF,"rgba(255, 255, 255, 1)"
Silver,#C0C0C0,"rgb(75,75,75)"
Gray,#808080,"rgb(50,50,50)"
Black,#000000,"rgb(0,0,0)"
Red,#FF0000,"rgba(255, 0, 0, 1)"
Maroon,#800000,"rgba(94, 0, 0, 1)"
Yellow,#FFFF00,"rgba(229, 255, 0, 1)"
Olive,#808000,"rgba(71, 71, 0, 1)"
Lime,#00FF00,"rgba(100, 240, 0, 1)"
Green,#008000,"rgba(31, 143, 31, 1)"
Aqua,#00FFFF,"rgba(1, 163, 163, 1)"
Teal,#008080,"rgba(1, 255, 255, 1)"
Blue,#0000FF,"rgba(0, 0, 255, 1)"
Navy,#000080,"rgba(0, 0, 83, 1)"
Fuchsia,#FF00FF,"rgba(255, 0, 255, 1)"
Purple,#800080,"rgba(104, 5, 104, 1)"
